online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
No,No,,0,Koramangala 8th Block,Quick Bites,"South Indian, North Indian, Chinese",250,Dine-out
Yes,No,3.6 /5,90,Koramangala 7th Block,Quick Bites,"Fast Food, Burger",500,Dine-out
Yes,No,3.4 /5,25,Koramangala 1st Block,Quick Bites,North Indian,200,Dine-out
Yes,No,3.6 /5,41,Koramangala 6th Block,Food Court,"Kerala, South Indian",500,Dine-out
Yes,No,3.1 /5,7,Ejipura,Quick Bites,North Indian,300,Dine-out
No,No,3.6 /5,13,Koramangala 7th Block,Quick Bites,South Indian,300,Dine-out
No,No,3.5 /5,12,Koramangala 2nd Block,Quick Bites,South Indian,200,Dine-out
No,No,3.1 /5,39,Koramangala 6th Block,Quick Bites,Maharashtrian,250,Dine-out
No,No,3.6 /5,68,Koramangala 7th Block,Food Court,Kerala,550,Dine-out
No,No,3.8 /5,82,Koramangala 7th Block,Quick Bites,"Chinese, Fast Food",200,Dine-out
Yes,No,3.7 /5,95,Koramangala 1st Block,Quick Bites,North Indian,150,Dine-out
Yes,No,3.4 /5,65,Koramangala 6th Block,Quick Bites,"Biryani, South Indian",350,Dine-out
Yes,No,3.7 /5,36,Koramangala 6th Block,Quick Bites,"Rajasthani, North Indian, Street Food",300,Dine-out
Yes,No,4.1 /5,76,Koramangala 5th Block,Quick Bites,Seafood,450,Dine-out
Yes,No,3.3 /5,4,Koramangala 5th Block,Quick Bites,Chinese,300,Dine-out
Yes,No,,0,Koramangala 1st Block,Quick Bites,North Indian,400,Dine-out
No,No,3.6 /5,47,Koramangala 1st Block,Quick Bites,"South Indian, North Indian",300,Dine-out
No,No,2.9 /5,53,Koramangala 7th Block,Quick Bites,Lebanese,300,Dine-out
No,No,3.5 /5,8,Koramangala 6th Block,Quick Bites,"North Indian, Fast Food",250,Dine-out
No,No,3.3 /5,5,Koramangala 1st Block,Quick Bites,"North Indian, South Indian",200,Dine-out
No,No,3.4 /5,6,Koramangala 5th Block,Quick Bites,"Arabian, Lebanese, Chinese",300,Dine-out
No,No,,0,Koramangala 6th Block,Quick Bites,Continental,400,Dine-out
No,No,,0,Ejipura,Quick Bites,"North Indian, Mughlai, Chinese",400,Dine-out
Yes,No,3.6 /5,82,Koramangala 1st Block,Quick Bites,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",400,Dine-out
Yes,No,3.6 /5,21,Koramangala 8th Block,Quick Bites,"North Indian, Fast Food",300,Dine-out
Yes,No,3.8 /5,36,Koramangala 1st Block,Quick Bites,Kerala,300,Dine-out
Yes,No,3.5 /5,21,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",350,Dine-out
Yes,No,3.7 /5,42,Ejipura,Quick Bites,"Chinese, North Indian",300,Dine-out
Yes,No,3.9 /5,44,Koramangala 5th Block,Quick Bites,"Tibetan, Asian, Momos",500,Dine-out
Yes,No,,0,Koramangala 1st Block,Quick Bites,"North Indian, South Indian, Bengali",350,Dine-out
Yes,No,4.0 /5,270,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Bengali",450,Dine-out
No,No,3.4 /5,11,Koramangala 7th Block,Quick Bites,"Chinese, Fast Food, Momos",200,Dine-out
No,No,3.2 /5,7,Koramangala 5th Block,Quick Bites,"Juices, Fast Food",100,Dine-out
No,No,3.3 /5,9,Koramangala 7th Block,"Quick Bites, Sweet Shop","Desserts, Street Food, Mithai",150,Dine-out
No,No,3.8 /5,14,Koramangala 6th Block,Quick Bites,"Chinese, Kerala, North Indian, South Indian",350,Dine-out
No,No,3.8 /5,64,Koramangala 6th Block,Quick Bites,Continental,550,Dine-out
No,No,3.6 /5,30,Koramangala 1st Block,Quick Bites,"Italian, Pizza",350,Dine-out
No,No,3.1 /5,14,Koramangala 6th Block,Quick Bites,"Juices, Sandwich",200,Dine-out
No,No,3.2 /5,4,Koramangala 5th Block,Quick Bites,"North Indian, South Indian, Chinese, Street Food",300,Dine-out
No,No,3.3 /5,6,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Biryani",350,Dine-out
No,No,3.3 /5,6,Koramangala 1st Block,Quick Bites,Biryani,300,Dine-out
No,No,3.3 /5,4,Koramangala 7th Block,Quick Bites,"South Indian, Biryani",300,Dine-out
No,No,2.9 /5,14,Koramangala 5th Block,Quick Bites,"Continental, Italian, Fast Food",400,Dine-out
No,No,,0,Koramangala 5th Block,Quick Bites,"Fast Food, Juices",200,Dine-out
No,No,3.7 /5,21,Koramangala 5th Block,Quick Bites,"American, Fast Food",250,Dine-out
No,No,2.9 /5,11,Koramangala 6th Block,Quick Bites,"North Indian, Kebab, Mughlai",400,Dine-out
No,No,4.0 /5,126,Koramangala 6th Block,Quick Bites,"Sandwich, Pizza, Salad",300,Dine-out
No,No,3.7 /5,23,Koramangala 1st Block,Quick Bites,South Indian,150,Dine-out
No,No,3.3 /5,8,Ejipura,Quick Bites,Biryani,100,Dine-out
No,No,,0,Ejipura,Quick Bites,"Fast Food, Chinese",150,Dine-out
No,No,3.6 /5,21,Ejipura,Quick Bites,South Indian,200,Dine-out
No,No,3.6 /5,10,Koramangala 5th Block,Quick Bites,"Street Food, Tea",200,Dine-out
No,No,,0,Ejipura,Quick Bites,"Biryani, Chinese",300,Dine-out
No,No,,0,Ejipura,Quick Bites,"North Indian, Chinese",250,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,400,Dine-out
Yes,No,3.4 /5,19,Koramangala 1st Block,Quick Bites,Kerala,200,Dine-out
Yes,No,3.6 /5,72,Koramangala 6th Block,Quick Bites,Mexican,200,Dine-out
Yes,No,,0,Koramangala 5th Block,Quick Bites,Fast Food,300,Dine-out
Yes,No,,0,Koramangala 1st Block,Quick Bites,"Tea, Fast Food",150,Dine-out
Yes,No,,0,Koramangala 5th Block,Quick Bites,"Fast Food, Beverages",150,Dine-out
Yes,No,3.5 /5,16,Koramangala 5th Block,Quick Bites,"Chinese, North Indian, Continental",200,Dine-out
No,No,3.7 /5,32,Ejipura,Quick Bites,"Chinese, Momos",500,Dine-out
Yes,No,3.0 /5,6,Ejipura,Quick Bites,"Chinese, North Indian",200,Dine-out
Yes,No,,0,Koramangala 5th Block,Quick Bites,"South Indian, Kerala",300,Dine-out
Yes,No,3.1 /5,7,Koramangala 5th Block,Quick Bites,"Biryani, Mughlai",500,Dine-out
No,No,3.0 /5,18,Koramangala 5th Block,Quick Bites,"Fast Food, Rolls",300,Dine-out
No,No,3.4 /5,9,Koramangala 7th Block,Quick Bites,"Street Food, Tea",100,Dine-out
No,No,3.1 /5,21,Koramangala 5th Block,Quick Bites,"South Indian, North Indian, Chinese",200,Dine-out
No,No,3.8 /5,56,Koramangala 7th Block,Food Court,"Seafood, Fast Food",400,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,150,Dine-out
No,No,3.5 /5,12,Koramangala 5th Block,Quick Bites,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200,Dine-out
No,No,3.2 /5,7,Koramangala 1st Block,Quick Bites,"Biryani, Kebab",200,Dine-out
No,No,,0,Koramangala 5th Block,Quick Bites,Fast Food,200,Dine-out
No,No,,0,Koramangala 2nd Block,Quick Bites,North Indian,150,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,500,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,300,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,South Indian,100,Dine-out
No,No,,0,Ejipura,Quick Bites,"North Indian, Kerala, South Indian",300,Dine-out
No,No,,0,Koramangala 7th Block,Quick Bites,"North Indian, Chinese",300,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,North Indian,600,Dine-out
No,No,3.5 /5,15,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,Bengali,600,Dine-out
No,No,3.5 /5,6,Koramangala 5th Block,Quick Bites,"Chinese, North Indian",250,Dine-out
No,No,NEW,0,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, South Indian",400,Dine-out
No,No,3.5 /5,7,Koramangala 6th Block,"Food Court, Quick Bites",Fast Food,300,Dine-out
No,No,4.0 /5,65,Koramangala 1st Block,Quick Bites,"Chinese, North Indian",350,Dine-out
No,No,3.3 /5,7,Ejipura,Quick Bites,"Chinese, North Indian, Andhra, Seafood",250,Dine-out
No,No,3.3 /5,9,Ejipura,Quick Bites,Biryani,200,Dine-out
No,No,,0,Ejipura,Quick Bites,South Indian,200,Dine-out
No,No,,0,Ejipura,Quick Bites,North Indian,100,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,"North Indian, Chinese, Kerala",400,Dine-out
Yes,No,NEW,0,Koramangala 1st Block,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",500,Dine-out
No,No,,0,Ejipura,Quick Bites,"North Indian, Chinese",200,Dine-out
No,No,3.2 /5,4,Ejipura,Quick Bites,Chinese,150,Dine-out
No,No,2.3 /5,77,Koramangala 1st Block,Quick Bites,"Italian, Pizza",600,Dine-out
Yes,No,NEW,0,Koramangala 6th Block,Quick Bites,Pizza,500,Dine-out
No,No,,0,Ejipura,Quick Bites,North Indian,200,Dine-out
No,No,,0,Ejipura,Quick Bites,"South Indian, Kerala",400,Dine-out
No,No,,0,Ejipura,Quick Bites,"South Indian, Chinese",300,Dine-out
No,No,,0,Koramangala 6th Block,Quick Bites,South Indian,,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,"Andhra, Chinese, North Indian",600,Dine-out
No,No,,0,Ejipura,Quick Bites,Biryani,150,Dine-out
Yes,No,,0,Koramangala 1st Block,Quick Bites,"Arabian, Biryani, Beverages, Rolls",300,Dine-out
No,No,,0,Koramangala 8th Block,Quick Bites,"Chinese, North Indian, South Indian, Hyderabadi",250,Dine-out
No,No,,0,Koramangala 1st Block,Quick Bites,Fast Food,200,Dine-out
No,No,NEW,0,Koramangala 8th Block,Quick Bites,South Indian,300,Dine-out
Yes,No,NEW,0,Koramangala 1st Block,Quick Bites,"Chinese, Momos",400,Dine-out
No,No,,0,Ejipura,Quick Bites,"Biryani, Chinese, North Indian",250,Dine-out
Yes,No,3.0 /5,7,Koramangala 6th Block,Quick Bites,"Arabian, Mediterranean",400,Dine-out
Yes,No,,0,Koramangala 5th Block,Quick Bites,Fast Food,200,Dine-out
Yes,No,3.3 /5,5,Ejipura,Quick Bites,"Chinese, Fast Food",100,Dine-out
Yes,No,3.3 /5,7,Koramangala 6th Block,Quick Bites,South Indian,150,Dine-out
Yes,No,,0,Ejipura,Quick Bites,"Momos, Chinese",300,Dine-out
Yes,No,NEW,0,Koramangala 1st Block,Quick Bites,"Biryani, Mughlai",500,Dine-out
Yes,No,3.2 /5,5,Ejipura,Quick Bites,"Chinese, North Indian",300,Dine-out
Yes,No,,0,Koramangala 1st Block,Quick Bites,"Chinese, Thai",300,Dine-out
Yes,No,NEW,0,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Rolls",450,Dine-out
Yes,No,3.8 /5,58,Koramangala 7th Block,Quick Bites,"Arabian, North Indian",500,Dine-out
Yes,No,3.8 /5,132,Koramangala 7th Block,Quick Bites,"Rolls, Chinese",300,Dine-out
Yes,No,3.7 /5,17,Koramangala 5th Block,Quick Bites,"Biryani, Chinese, North Indian",250,Dine-out
Yes,No,3.5 /5,18,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",200,Dine-out
No,No,2.8 /5,26,Koramangala 6th Block,Quick Bites,"North Indian, Chinese, South Indian",400,Dine-out
Yes,No,,0,Koramangala 8th Block,Quick Bites,Biryani,200,Dine-out
No,No,2.8 /5,13,Koramangala 6th Block,Quick Bites,"Chinese, Momos",500,Dine-out
Yes,No,4.1 /5,205,Koramangala 5th Block,Quick Bites,Fast Food,250,Dine-out
No,No,3.8 /5,21,Koramangala 5th Block,Quick Bites,"Fast Food, Beverages",100,Dine-out
Yes,No,3.8 /5,103,Koramangala 6th Block,Quick Bites,"North Indian, Chinese, Biryani",400,Dine-out
Yes,No,3.4 /5,257,Koramangala 1st Block,Quick Bites,"Biryani, Kebab",250,Dine-out
Yes,No,,0,Koramangala 6th Block,Quick Bites,Chinese,300,Dine-out
Yes,No,3.7 /5,34,Ejipura,Quick Bites,North Indian,200,Dine-out
No,No,,0,Koramangala 3rd Block,Quick Bites,"North Indian, Chinese",500,Dine-out
Yes,No,3.8 /5,433,Koramangala 5th Block,"Dessert Parlor, Quick Bites",Desserts,800,Dine-out
No,No,3.0 /5,9,Koramangala 5th Block,Quick Bites,"Juices, Fast Food",150,Dine-out
Yes,No,3.1 /5,53,Koramangala 1st Block,Quick Bites,Fast Food,100,Dine-out
No,No,NEW,0,Ejipura,Quick Bites,Fast Food,100,Dine-out
No,No,NEW,0,Koramangala 6th Block,Quick Bites,South Indian,150,Dine-out
No,No,4.3 /5,411,HSR,"Bar, Casual Dining","North Indian, South Indian, Continental, Asian","1,200",Dine-out
No,No,4.2 /5,3236,BTM,"Casual Dining, Microbrewery",North Indian,,Dine-out
No,Yes,4.6 /5,650,HSR,"Bar, Pub","Continental, Finger Food, Asian, Chinese",850,Dine-out
Yes,Yes,4.5 /5,811,BTM,Casual Dining,"Continental, Mexican, Chinese, North Indian",800,Dine-out
No,Yes,4.7 /5,798,HSR,Lounge,"Chinese, Continental, North Indian, Finger Food","1,200",Dine-out
No,Yes,4.0 /5,1768,Domlur,"Lounge, Cafe","Continental, Pizza, North Indian, Goan, Burger, Cafe","1,600",Dine-out
No,Yes,4.2 /5,469,Domlur,Fine Dining,"North Indian, Asian, South Indian, Italian, European","3,000",Dine-out
Yes,No,4.3 /5,793,HSR,Casual Dining,"BBQ, Chinese, Japanese, Asian","1,000",Dine-out
No,No,4.6 /5,1590,HSR,Cafe,"Cafe, American, Burger, Beverages",750,Dine-out
Yes,No,4.5 /5,229,HSR,Casual Dining,"Lebanese, Turkish","1,200",Dine-out
No,Yes,4.1 /5,1377,HSR,"Bar, Casual Dining","Continental, North Indian, Chinese, Finger Food","1,200",Dine-out
Yes,Yes,4.5 /5,1879,BTM,Cafe,"Cafe, Continental, Burger",900,Dine-out
No,Yes,4.3 /5,2035,Domlur,"Pub, Microbrewery","Continental, North Indian, Finger Food","1,700",Dine-out
No,Yes,4.4 /5,243,HSR,Pub,"Finger Food, Continental, Pizza, Asian, North Indian","1,250",Dine-out
Yes,No,4.3 /5,1104,HSR,Cafe,"Cafe, Continental, Pizza, Salad",700,Dine-out
No,Yes,4.3 /5,127,HSR,"Casual Dining, Cafe","Asian, Thai, North Indian",800,Dine-out
No,Yes,3.8 /5,321,HSR,Casual Dining,"Hyderabadi, North Indian, South Indian, Biryani",800,Dine-out
Yes,Yes,4.2 /5,1542,BTM,Casual Dining,"Kerala, Seafood, Chinese, Biryani, Juices",800,Dine-out
Yes,No,3.9 /5,126,HSR,Casual Dining,"Biryani, North Indian, South Indian, Chinese",600,Dine-out
Yes,Yes,4.2 /5,217,Domlur,Casual Dining,"European, Italian, Asian","1,500",Dine-out
Yes,No,3.9 /5,226,BTM,Casual Dining,"Andhra, Chinese, North Indian, Biryani",500,Dine-out
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out
Yes,Yes,4.1 /5,1341,HSR,Casual Dining,"North Indian, Mughlai",800,Dine-out
Yes,No,3.9 /5,370,HSR,Casual Dining,"Andhra, Biryani, North Indian, Chinese",550,Dine-out
Yes,No,4.3 /5,83,HSR,Casual Dining,"Biryani, Kebab, Fast Food",650,Dine-out
No,No,4.3 /5,316,BTM,Mess,"Kerala, South Indian, Biryani",300,Dine-out
Yes,No,3.5 /5,9,BTM,Quick Bites,"South Indian, Biryani",300,Dine-out
No,No,3.9 /5,70,Hosur Road,Bar,"North Indian, Chinese","1,500",Dine-out
Yes,No,3.9 /5,468,BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food",700,Dine-out
No,Yes,4.2 /5,325,Domlur,Casual Dining,"Seafood, Kerala","1,800",Dine-out
Yes,Yes,3.8 /5,1167,HSR,Casual Dining,"Kerala, Seafood, South Indian, North Indian, Chinese",600,Dine-out
Yes,Yes,3.9 /5,74,BTM,Casual Dining,"North Indian, Chinese, South Indian",900,Dine-out
No,No,3.8 /5,69,BTM,Quick Bites,"Kerala, South Indian, Biryani",300,Dine-out
No,Yes,4.2 /5,209,Domlur,Bar,"European, Asian","2,000",Dine-out
Yes,Yes,4.1 /5,2727,BTM,Casual Dining,"Biryani, North Indian, Mughlai",800,Dine-out
Yes,Yes,3.9 /5,65,BTM,Casual Dining,"Bengali, North Indian",600,Dine-out
Yes,No,3.9 /5,670,HSR,Casual Dining,"Biryani, North Indian, Chinese, Seafood",800,Dine-out
Yes,No,4.0 /5,494,HSR,Casual Dining,"Chinese, Asian, Seafood",800,Dine-out
Yes,No,3.9 /5,421,BTM,Casual Dining,"Arabian, North Indian, Chinese, Fast Food",800,Dine-out
Yes,No,3.8 /5,43,HSR,Casual Dining,"North Indian, Chinese",700,Dine-out
Yes,No,2.9 /5,361,HSR,Casual Dining,"North Indian, Chinese, Andhra",450,Dine-out
No,No,3.8 /5,157,HSR,"Lounge, Bar","Continental, Italian","1,300",Dine-out
Yes,Yes,3.5 /5,59,HSR,Casual Dining,"North Indian, Chinese, South Indian, Continental",700,Dine-out
No,No,4.4 /5,228,HSR,Quick Bites,South Indian,150,Dine-out
Yes,No,3.1 /5,53,HSR,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Dine-out
Yes,No,4.2 /5,468,BTM,Quick Bites,"Kerala, South Indian, Chinese",400,Dine-out
Yes,No,2.8 /5,261,HSR,Casual Dining,"Kerala, Chinese, Seafood, North Indian",700,Dine-out
No,No,3.4 /5,5,BTM,Casual Dining,"Chinese, North Indian","1,000",Dine-out
Yes,No,3.6 /5,220,BTM,Casual Dining,"Biryani, North Indian, Chinese",600,Dine-out
Yes,No,3.8 /5,71,BTM,Casual Dining,"North Indian, Arabian, Chinese","1,000",Dine-out
No,No,4.0 /5,139,BTM,Quick Bites,"Kerala, Chinese",200,Dine-out
Yes,Yes,4.0 /5,344,Old Airport Road,"Casual Dining, Pub",Continental,900,Dine-out
Yes,No,3.6 /5,15,BTM,Quick Bites,"North Indian, Chinese",300,Dine-out
Yes,No,3.4 /5,7,HSR,Quick Bites,"North Indian, Fast Food",300,Dine-out
No,Yes,4.1 /5,94,Domlur,Fine Dining,"European, Mediterranean, Salad","3,000",Dine-out
Yes,No,3.9 /5,214,BTM,Casual Dining,"North Indian, Chinese, Fast Food, Rolls, Beverages",600,Dine-out
No,No,3.6 /5,39,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
Yes,No,3.1 /5,266,HSR,Casual Dining,"Chettinad, South Indian",550,Dine-out
Yes,No,4.1 /5,134,HSR,Casual Dining,North Indian,650,Dine-out
Yes,No,3.9 /5,97,BTM,Quick Bites,"Italian, American, Fast Food, Wraps, Rolls, Salad","1,000",Dine-out
No,No,2.6 /5,49,HSR,Cafe,"Cafe, Fast Food",450,Dine-out
No,No,3.9 /5,371,HSR,Casual Dining,"South Indian, North Indian",400,Dine-out
Yes,No,3.6 /5,45,BTM,Casual Dining,"North Indian, Chinese",500,Dine-out
Yes,No,3.4 /5,10,BTM,Quick Bites,"Bakery, Fast Food, Beverages",600,Dine-out
Yes,No,3.8 /5,331,HSR,Quick Bites,North Indian,350,Dine-out
Yes,No,3.8 /5,34,HSR,Quick Bites,"Rolls, Salad, Sandwich",400,Dine-out
Yes,No,3.6 /5,13,Domlur,Kiosk,"Fast Food, Chinese",200,Dine-out
Yes,No,3.8 /5,49,HSR,"Sweet Shop, Quick Bites","Mithai, Street Food",400,Dine-out
Yes,No,4.0 /5,65,HSR,Casual Dining,"South Indian, North Indian, Chinese, Beverages",300,Dine-out
Yes,No,3.3 /5,293,HSR,Casual Dining,"Bengali, Seafood",600,Dine-out
Yes,No,3.8 /5,18,HSR,Quick Bites,"Burger, Fast Food",500,Dine-out
Yes,No,3.7 /5,26,BTM,Casual Dining,"North Indian, Chinese, Arabian",700,Dine-out
Yes,No,3.7 /5,26,BTM,Quick Bites,"Chinese, North Indian",300,Dine-out
Yes,No,3.9 /5,106,HSR,Quick Bites,South Indian,150,Dine-out
No,Yes,4.1 /5,146,Domlur,"Casual Dining, Bar","South Indian, North Indian, Continental, European","1,200",Dine-out
Yes,No,3.9 /5,450,HSR,Casual Dining,"North Indian, Chinese, Biryani",550,Dine-out
Yes,No,3.8 /5,78,HSR,Quick Bites,"Oriya, Bengali",350,Dine-out
No,No,3.5 /5,7,BTM,Sweet Shop,"Mithai, Fast Food",300,Dine-out
Yes,Yes,3.9 /5,224,HSR,Casual Dining,"North Indian, Chinese, Street Food",800,Dine-out
Yes,No,3.2 /5,115,HSR,Casual Dining,"South Indian, North Indian, Chinese, Biryani",700,Dine-out
No,No,2.8 /5,228,HSR,Quick Bites,"Biryani, Kebab",500,Dine-out
Yes,No,NEW,0,BTM,Quick Bites,"Beverages, Desserts",200,Dine-out
No,No,3.7 /5,105,BTM,Casual Dining,"Andhra, Chinese, North Indian",700,Dine-out
Yes,No,3.2 /5,68,HSR,Casual Dining,"South Indian, Street Food, Fast Food, Desserts, Beverages",400,Dine-out
No,No,3.4 /5,7,BTM,Quick Bites,"Biryani, Chinese, North Indian",300,Dine-out
Yes,No,3.7 /5,28,BTM,Quick Bites,"North Indian, Fast Food, Biryani, Chinese",500,Dine-out
Yes,No,3.9 /5,48,HSR,Quick Bites,"Fast Food, Beverages",400,Dine-out
Yes,No,3.8 /5,341,HSR,Quick Bites,"South Indian, Kerala, Chinese, North Indian",400,Dine-out
Yes,No,3.7 /5,36,BTM,Quick Bites,"Kerala, South Indian",200,Dine-out
Yes,No,3.7 /5,14,BTM,Quick Bites,"Arabian, Afghan",400,Dine-out
Yes,Yes,4.0 /5,126,HSR,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900,Dine-out
Yes,No,3.4 /5,212,HSR,Casual Dining,"North Indian, Chinese, Mughlai",800,Dine-out
Yes,No,3.8 /5,278,HSR,Quick Bites,Biryani,200,Dine-out
Yes,No,3.4 /5,8,HSR,Quick Bites,"Bengali, North Indian",350,Dine-out
No,No,3.5 /5,17,BTM,Quick Bites,"North Indian, Chinese",200,Dine-out
Yes,No,3.1 /5,283,HSR,Quick Bites,"North Indian, Kebab, Fast Food",500,Dine-out
Yes,No,3.6 /5,36,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",250,Dine-out
Yes,Yes,3.7 /5,21,Hosur Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",700,Dine-out
Yes,No,3.6 /5,18,BTM,Quick Bites,"Kerala, Chinese, South Indian",350,Dine-out
Yes,No,3.6 /5,42,BTM,Cafe,"Cafe, Continental, Fast Food",600,Dine-out
Yes,No,3.7 /5,141,HSR,Casual Dining,"Andhra, Biryani, South Indian, Chinese",500,Dine-out
No,No,3.6 /5,20,BTM,Quick Bites,North Indian,300,Dine-out
Yes,No,3.8 /5,283,HSR,Quick Bites,"Biryani, South Indian",350,Dine-out
Yes,No,2.7 /5,73,BTM,Casual Dining,"Chinese, North Indian",600,Dine-out
Yes,No,3.3 /5,12,BTM,Quick Bites,Healthy Food,500,Dine-out
Yes,No,3.9 /5,462,HSR,Quick Bites,"Biryani, Hyderabadi, Chinese",600,Dine-out
Yes,No,3.6 /5,42,BTM,Quick Bites,Fast Food,400,Dine-out
Yes,No,3.5 /5,15,BTM,Quick Bites,"Fast Food, North Indian",400,Dine-out
No,No,,0,BTM,Quick Bites,"Biryani, South Indian",350,Dine-out
Yes,No,,0,BTM,Cafe,"Burger, Cafe, Pizza, Beverages",200,Dine-out
No,No,3.5 /5,11,BTM,Quick Bites,"Biryani, Fast Food",300,Dine-out
No,No,,0,HSR,Quick Bites,"American, Chinese",300,Dine-out
Yes,No,3.6 /5,68,BTM,Quick Bites,"Andhra, Biryani",300,Dine-out
Yes,No,4.2 /5,106,Hosur Road,Quick Bites,"Bihari, North Indian",300,Dine-out
Yes,No,3.5 /5,6,HSR,Quick Bites,"North Indian, South Indian, Chinese",400,Dine-out
Yes,No,3.4 /5,24,BTM,Quick Bites,"North Indian, Chinese",500,Dine-out
No,No,3.7 /5,56,Domlur,Casual Dining,"Mughlai, North Indian","1,800",Dine-out
Yes,No,3.9 /5,717,HSR,Casual Dining,"Italian, Chinese, Continental, Steak","1,000",Dine-out
Yes,No,3.1 /5,18,BTM,Casual Dining,"Kerala, Chinese, South Indian, North Indian",700,Dine-out
Yes,No,3.1 /5,6,HSR,Quick Bites,"South Indian, Biryani",250,Dine-out
Yes,No,3.8 /5,377,BTM,Quick Bites,"North Indian, Kerala",500,Dine-out
Yes,No,,0,BTM,Quick Bites,"South Indian, North Indian",200,Dine-out
Yes,No,3.9 /5,191,BTM,Quick Bites,"Biryani, North Indian, Kebab",600,Dine-out
Yes,No,3.8 /5,8,HSR,Quick Bites,"South Indian, Kerala",300,Dine-out
Yes,No,3.7 /5,84,HSR,Quick Bites,"Biryani, Italian, BBQ",350,Dine-out
No,No,3.0 /5,15,BTM,Bar,North Indian,"1,000",Dine-out
No,No,3.5 /5,15,HSR,Cafe,"Cafe, Fast Food",250,Dine-out
No,No,3.3 /5,19,HSR,Bar,"North Indian, Continental",600,Dine-out
Yes,No,3.7 /5,59,HSR,Cafe,"Cafe, Fast Food, North Indian",600,Dine-out
Yes,No,3.6 /5,34,BTM,Casual Dining,"South Indian, Chinese",300,Dine-out
Yes,No,3.7 /5,61,BTM,Quick Bites,"Fast Food, Burger, Italian, Beverages",350,Dine-out
No,No,3.7 /5,35,BTM,Quick Bites,South Indian,200,Dine-out
No,No,3.5 /5,39,BTM,Bar,Finger Food,"1,200",Dine-out
Yes,No,3.9 /5,338,HSR,Quick Bites,"North Indian, Chinese",500,Dine-out
Yes,No,3.7 /5,31,BTM,Beverage Shop,Tea,150,Dine-out
Yes,No,3.4 /5,11,HSR,Quick Bites,"Biryani, North Indian, Chinese, Andhra",300,Dine-out
No,No,3.4 /5,7,BTM,Quick Bites,Street Food,150,Dine-out
No,No,,0,Marathahalli,Quick Bites,"Beverages, Fast Food",300,Dine-out
No,No,3.3 /5,6,BTM,Quick Bites,"Biryani, Fast Food",300,Dine-out
No,No,,0,BTM,Quick Bites,"North Indian, Chinese, South Indian",200,Dine-out
No,No,3.4 /5,4,BTM,Quick Bites,"Fast Food, Biryani",200,Dine-out
Yes,No,3.9 /5,139,BTM,Quick Bites,"North Indian, Fast Food",300,Dine-out
Yes,No,3.3 /5,334,BTM,Quick Bites,"Biryani, North Indian",400,Dine-out
Yes,No,3.9 /5,58,BTM,Quick Bites,"Biryani, North Indian",300,Dine-out
No,No,4.0 /5,115,BTM,Casual Dining,"Continental, Steak, Fast Food","1,000",Dine-out
No,No,3.4 /5,46,Domlur,Casual Dining,North Indian,"1,100",Dine-out
Yes,No,2.6 /5,33,BTM,Casual Dining,"North Indian, Fast Food, Chinese, Beverages",500,Dine-out
Yes,No,,0,BTM,Casual Dining,"Andhra, North Indian",700,Dine-out
No,No,3.7 /5,79,HSR,Quick Bites,"North Indian, Chinese, Street Food, Fast Food, Mithai",500,Dine-out
Yes,No,3.9 /5,172,BTM,Quick Bites,"South Indian, Seafood, Biryani",300,Dine-out
Yes,No,3.6 /5,23,BTM,Quick Bites,"South Indian, Kerala, Chinese",350,Dine-out
Yes,No,3.6 /5,43,BTM,Quick Bites,"North Indian, South Indian, Mangalorean",250,Dine-out
No,No,3.7 /5,29,HSR,Casual Dining,"North Indian, Hyderabadi, Continental",600,Dine-out
No,No,3.6 /5,39,BTM,Casual Dining,"Seafood, Mangalorean",600,Dine-out
